STATION;NAME;LATITUDE;LONGITUDE;DATE;PRCP;PRCP_ATTRIBUTES;SNOW;SNOW_ATTRIBUTES;SNWD;SNWD_ATTRIBUTES;TAVG;TAVG_ATTRIBUTES;TMAX;TMAX_ATTRIBUTES;TMIN;TMIN_ATTRIBUTES;TOBS;TOBS_ATTRIBUTES
USC00044881;LEE VINING, CA US;37.9567;-119.1194;04/05/2010;0.0;,,0,0900;0.0;,,0,;0.0;T,,0,;;;20.6;,,0;3.9;,,0;13.3;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;05/05/2010;0.0;,,0,0900;0.0;,,0,;0.0;T,,0,;;;18.9;,,0;6.7;,,0;12.8;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;06/05/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;15.6;,,0;-3.3;,,0;1.1;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;07/05/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;12.2;,,0;-2.8;,,0;5.0;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;08/05/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;17.8;,,0;3.9;,,0;11.7;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;09/05/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;16.1;,,0;-0.6;,,0;8.3;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;10/05/2010;0.0;T,,0,0900;0.0;T,,0,;0.0;,,0,;;;10.6;,,0;-2.8;,,0;5.6;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;11/05/2010;2.0;,,0,0900;13.0;,,0,;25.0;,,0,;;;9.4;,,0;-6.7;,,0;1.7;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;12/05/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;11.1;,,0;1.1;,,0;6.1;,,0,0900
USC00044881;LEE VINING, CA US;37.9567;-119.1194;13/05/2010;0.0;,,0,0900;0.0;,,0,;0.0;,,0,;;;14.4;,,0;0.0;,,0;10.6;,,0,0900
